"gene","statistic","estimate","p_value","method"
"PPM1D","654254.880191639","0.200963745712789","0.0085944320256819","Spearman's rank correlation rho"
"PPP1R1B","655606.180258008","0.199313413745632","0.00916722769741994","Spearman's rank correlation rho"
"PRKAR1A","592413.102054148","0.222917011032724","0.00389184593241136","Spearman's rank correlation rho"
"PRPF8","638130.759560484","0.20673914827646","0.0069996465905306","Spearman's rank correlation rho"
"PRPSAP1","657972.995716464","0.167379953892135","0.0301117544281612","Spearman's rank correlation rho"
"PRPSAP2","615921.345541234","0.220593455260357","0.00406139439941299","Spearman's rank correlation rho"
"PRR15L","686184.330979139","0.161968562747981","0.0348424493519191","Spearman's rank correlation rho"
"PSMC5","661304.633770112","0.192353938031507","0.0119710170012546","Spearman's rank correlation rho"
"QRICH2","594427.851609463","0.191397641764772","0.0140853699669651","Spearman's rank correlation rho"
"RAB37","636285.255838129","0.165368816577409","0.0332368520465926","Spearman's rank correlation rho"
"RABEP1","619338.404747502","0.216269399391198","0.00486795432772119","Spearman's rank correlation rho"
"RANGRF","668828.618836679","0.183164955225384","0.0168107245450971","Spearman's rank correlation rho"
"RAPGEFL1","664182.884129166","0.188838753880147","0.0136547052193459","Spearman's rank correlation rho"
"RCVRN","660427.129368475","0.193425627141414","0.0114953653754414","Spearman's rank correlation rho"
"RFFL","642906.110810429","0.171743289483302","0.0264691376233763","Spearman's rank correlation rho"
"RHOT1","664983.414902515","0.158508745523515","0.0401539765878148","Spearman's rank correlation rho"
"RNASEK","612869.98189639","0.25150679112073","0.00093831439128156","Spearman's rank correlation rho"
"RND2","689599.633016094","0.157797481676231","0.0398653225590194","Spearman's rank correlation rho"
"RNF167","658739.826543779","0.181120000815749","0.018442613197241","Spearman's rank correlation rho"
"RPA1","572615.966777577","0.206643768908429","0.00813113527020549","Spearman's rank correlation rho"
"RPAIN","584469.565670925","0.286191992390221","0.000154698684446019","Spearman's rank correlation rho"
"RPL19","567284.487096404","0.24226686734111","0.00171762532944354","Spearman's rank correlation rho"
"RPL23","601066.144086362","0.265922723864214","0.000456692342391542","Spearman's rank correlation rho"
"RPL23A","662766.999023558","0.190567963039358","0.0128021746101227","Spearman's rank correlation rho"
"RPL26","632000.718560315","0.228142575386918","0.00276945596873531","Spearman's rank correlation rho"
"RPL27","665328.406029829","0.17292973244763","0.024552707297362","Spearman's rank correlation rho"
"RPL38","661085.019870859","0.178204689136717","0.0204464137782934","Spearman's rank correlation rho"
"RPRML","654885.027779728","0.156310836442783","0.0436719137771196","Spearman's rank correlation rho"
"RSAD1","622224.117886837","0.240082659623675","0.00161351708943661","Spearman's rank correlation rho"
"RUNDC1","602902.443946412","0.237067989195221","0.00197450760103462","Spearman's rank correlation rho"
"SAP30BP","625065.6986282","0.23661225978322","0.00189304142173406","Spearman's rank correlation rho"
"SAT2","630889.131226251","0.22950014811066","0.00260794971428049","Spearman's rank correlation rho"
"SENP3","618348.939784345","0.24481538365747","0.001292870506755","Spearman's rank correlation rho"
"SHPK","630904.269812","0.157288662661288","0.043630203856396","Spearman's rank correlation rho"
"SLC25A11","648634.675802004","0.193681721692103","0.0116320779936275","Spearman's rank correlation rho"
"SLC25A35","676139.7349147","0.174235947613046","0.0230618614873007","Spearman's rank correlation rho"
"SLC39A11","564546.443031438","0.17299536647217","0.0286986555484205","Spearman's rank correlation rho"
"SLC47A2","676585.207103253","0.158936394133493","0.0390199163560891","Spearman's rank correlation rho"
"SLC5A10","448049.241500962","0.23446503615224","0.00364379350408655","Spearman's rank correlation rho"
"SLC6A4","686877.985975298","0.161121407447074","0.0358168340242538","Spearman's rank correlation rho"
"SLFN12","665759.663569094","0.186913045756812","0.0146622274354845","Spearman's rank correlation rho"
"SMARCD2","672439.871761755","0.178754560900636","0.0196851360237359","Spearman's rank correlation rho"
"SMCR8","617007.796081513","0.246453311739043","0.00119625631504841","Spearman's rank correlation rho"
"SMG6","625352.028205695","0.194358235071559","0.0118410933184354","Spearman's rank correlation rho"
"SMURF2","650537.490342444","0.161911774116427","0.0365765512056867","Spearman's rank correlation rho"
"SMYD4","664861.048014831","0.1586635924919","0.0399571164144577","Spearman's rank correlation rho"
"SNF8","668865.956939523","0.183119354498906","0.0168384669103302","Spearman's rank correlation rho"
"SNORA48","694823.703801878","0.151417365792982","0.0487175989950966","Spearman's rank correlation rho"
"SOX15","615968.903450076","0.247722103003675","0.00112601001788169","Spearman's rank correlation rho"
"SPAG7","620174.088942545","0.242586343582971","0.0014358278879983","Spearman's rank correlation rho"
"SPATA20","647988.235037277","0.19448531271782","0.011283752545781","Spearman's rank correlation rho"
"SPNS2","656984.310318417","0.153606328240571","0.0474904493047557","Spearman's rank correlation rho"
"SPOP","634988.153875676","0.210645723887827","0.00597801858138055","Spearman's rank correlation rho"
