"gene","statistic","estimate","p_value","method"
"TFAM","915409.979878522","-0.158389029057509","0.0403067327901892","Spearman's rank correlation rho"
"APOA4","950811.942874736","-0.161219023912575","0.0357033958547125","Spearman's rank correlation rho"
"CCDC34","919492.534732043","-0.206121209583519","0.00771508205736159","Spearman's rank correlation rho"
"DDB2","974133.886767801","-0.232700136625904","0.00240216532904964","Spearman's rank correlation rho"
"E2F8","946308.791730625","-0.176357207163524","0.0218114252491083","Spearman's rank correlation rho"
"KRTAP5-2","956258.644957551","-0.167871037618909","0.0286569068044363","Spearman's rank correlation rho"
"MALAT1","947706.959061365","-0.178095270077775","0.0205251502950143","Spearman's rank correlation rho"
"MS4A12","989771.987812036","-0.208800615301612","0.00628505661392502","Spearman's rank correlation rho"
"MTCH2","947700.184307387","-0.199250085172917","0.00961682119730359","Spearman's rank correlation rho"
"OR5A1","949686.796518025","-0.159844891662881","0.0373285028527296","Spearman's rank correlation rho"
"OR5AP2","943227.843640779","-0.151956624154444","0.0479109833093348","Spearman's rank correlation rho"
"SCARNA9L","1000181.31956369","-0.221513448945342","0.00369575799838896","Spearman's rank correlation rho"
"SLC36A4","822287.645314815","-0.182263120132871","0.0206645571576263","Spearman's rank correlation rho"
"SNORA23","950447.007939708","-0.160773331794149","0.0362238086667899","Spearman's rank correlation rho"
"TRIM48","858406.825049996","-0.211479075266626","0.00690336643442759","Spearman's rank correlation rho"
"TYR","928845.266761548","-0.196632466686525","0.0108690738371486","Spearman's rank correlation rho"
"CRADD","866509.328955829","-0.157413684390549","0.0434612175805564","Spearman's rank correlation rho"
"GLIPR1L2","930658.061595443","-0.156901772158822","0.0416279615040251","Spearman's rank correlation rho"
"GNPTAB","940091.372608496","-0.168628328537239","0.0284071358434829","Spearman's rank correlation rho"
"HOXC12","912678.56971915","-0.154932615393663","0.0449322286291831","Spearman's rank correlation rho"
"ING4","945318.622366195","-0.154510075495625","0.0442410944541332","Spearman's rank correlation rho"
"MMP19","947585.853393803","-0.157279026622704","0.0405302315006214","Spearman's rank correlation rho"
"TMEM116","980425.26601646","-0.218767423321143","0.00426903062471875","Spearman's rank correlation rho"
"TSPAN11","824816.297033033","-0.164072390426559","0.0369524117727754","Spearman's rank correlation rho"
"TSPAN31","987421.686705351","-0.227464679410958","0.0029377051598297","Spearman's rank correlation rho"
"TULP3","898938.264832441","-0.158103240376958","0.0412855035775789","Spearman's rank correlation rho"
"DIAPH3","918986.09541005","-0.162914359881315","0.0348615287219474","Spearman's rank correlation rho"
"FAM124A","895428.281496284","-0.174555530555035","0.024493804710876","Spearman's rank correlation rho"
"BTBD6","973718.297532987","-0.189194371716083","0.0134754281460298","Spearman's rank correlation rho"
"MIPOL1","897536.912682133","-0.156297876727784","0.0436895800078876","Spearman's rank correlation rho"
"PYGL","937408.462991338","-0.165293201471009","0.0317408412261861","Spearman's rank correlation rho"
"TSPAN3","931002.404642989","-0.178120181416106","0.0208899155796255","Spearman's rank correlation rho"
"VPS13C","901419.548647678","-0.161299881280053","0.0373010311037168","Spearman's rank correlation rho"
"MT1A","948176.19590011","-0.158000007205757","0.039608090473302","Spearman's rank correlation rho"
"MT1E","997977.222568177","-0.218821602906891","0.00414563261218163","Spearman's rank correlation rho"
"MT1G","975786.088126979","-0.191719747836151","0.0122605627388065","Spearman's rank correlation rho"
"MYLK3","935277.200889544","-0.20491873510665","0.00789576111893466","Spearman's rank correlation rho"
"OR1F1","942306.149077367","-0.150830965953269","0.0496075203267433","Spearman's rank correlation rho"
"PKD1L2","454355.897756599","-0.185360776394313","0.03334921819283","Spearman's rank correlation rho"
"SPIRE2","941713.68258179","-0.170645023347659","0.0265400469675233","Spearman's rank correlation rho"
"ITGA2B","933168.320343926","-0.160022276793702","0.0376852153609065","Spearman's rank correlation rho"
"KRT19","950130.402695381","-0.181107854775223","0.0184505948550739","Spearman's rank correlation rho"
"KRT36","989793.589075085","-0.208826996751467","0.00627832358642505","Spearman's rank correlation rho"
"MEOX1","949741.413075224","-0.22355299694315","0.00368324095338587","Spearman's rank correlation rho"
"MYH8","889669.296929293","-0.167001327372803","0.0315134240003782","Spearman's rank correlation rho"
"NAA38","913410.948257791","-0.15585939059049","0.0436504596670734","Spearman's rank correlation rho"
"SLFN12L","946042.94244835","-0.155394681820885","0.0430258532999365","Spearman's rank correlation rho"
"UNC45B","957825.917805546","-0.233968274044268","0.002340921623774","Spearman's rank correlation rho"
"WSCD1","910633.870532073","-0.216351709096349","0.0052529834592599","Spearman's rank correlation rho"
"CCBE1","864164.446163698","-0.154281577970905","0.0478633803309246","Spearman's rank correlation rho"
"MYO5B","938630.978189032","-0.253748000679924","0.00100662697695698","Spearman's rank correlation rho"
"CCNE1","983590.710646382","-0.201251470919672","0.00849788147905529","Spearman's rank correlation rho"
"CLEC4G","943847.046443111","-0.173297009650329","0.0242454621548185","Spearman's rank correlation rho"
"LYPD5","882000.135813551","-0.156941498138729","0.0434558945739504","Spearman's rank correlation rho"
"SPIB","965047.60745318","-0.178604927245412","0.0197896974268962","Spearman's rank correlation rho"
"TNFSF9","945083.310898175","-0.154222691481091","0.0446420187339593","Spearman's rank correlation rho"
"ABCG5","927605.797605526","-0.173822006374646","0.0242369951528688","Spearman's rank correlation rho"
"ADAM17","909627.86368019","-0.193181475402128","0.0126420173536887","Spearman's rank correlation rho"
"AOX1","929784.400508262","-0.197842353814225","0.0103811667835941","Spearman's rank correlation rho"
"BAZ2B","7604408.89214471","-0.192149807131807","0.000389042669046643","Spearman's rank correlation rho"
"BOK","900831.642385765","-0.20325867868694","0.00883307346980611","Spearman's rank correlation rho"
"C2orf74","918959.689447103","-0.183896865623876","0.0173621800877413","Spearman's rank correlation rho"
"CCDC74A","957369.232245603","-0.169227388994453","0.027376118433856","Spearman's rank correlation rho"
"CLIP4","910794.974743259","-0.152549054144364","0.0483739210948882","Spearman's rank correlation rho"
"FBXO36","884116.709161111","-0.180932211098644","0.0200358372654043","Spearman's rank correlation rho"
"FBXO41","959815.649886507","-0.17221517929972","0.0247264493313365","Spearman's rank correlation rho"
"ICA1L","928173.152835428","-0.153812780114649","0.0458660959386569","Spearman's rank correlation rho"
"IGFBP5","956325.425633501","-0.188808892687461","0.0139537309654487","Spearman's rank correlation rho"
"KCTD18","914499.413573458","-0.178150686888003","0.021257481923248","Spearman's rank correlation rho"
"LHCGR","895832.529734131","-0.175085793015237","0.0240559723296165","Spearman's rank correlation rho"
"PPM1B","925004.162819087","-0.191683967889204","0.0130811261128431","Spearman's rank correlation rho"
"PTPRN","948062.774339602","-0.157861486360736","0.039783877423333","Spearman's rank correlation rho"
"RAB6C","956330.304297695","-0.188814957358778","0.013950606188352","Spearman's rank correlation rho"
"SIX3","950943.70078938","-0.182118866278878","0.017796384603499","Spearman's rank correlation rho"
"SLC19A3","941616.062979709","-0.213085098709262","0.00569559572929983","Spearman's rank correlation rho"
"SLC3A1","927760.221405163","-0.195234601457794","0.0114578359205907","Spearman's rank correlation rho"
"SPEG","888318.800343819","-0.165229847438293","0.0333871826736924","Spearman's rank correlation rho"
"TBC1D8","942905.031284541","-0.151562376004716","0.0484995917561967","Spearman's rank correlation rho"
"TET3","927238.155981649","-0.194562023949067","0.0117509799735275","Spearman's rank correlation rho"
"WNT10A","915817.243861991","-0.158904393911237","0.0396525928397876","Spearman's rank correlation rho"
"RTN4","755050.328710587","-0.170700526408913","0.03255789166652","Spearman's rank correlation rho"
"CHODL","883960.940814783","-0.180724148231218","0.0201814773103027","Spearman's rank correlation rho"
